,证券代码,证券简称,"任职期限最长的现任基金经理
[名次] 第1名","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第1名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第1名
[单位] %","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第2名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第2名
[单位] %","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第3名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第3名
[单位] %","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第4名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第4名
[单位] %","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第5名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第5名
[单位] %","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第6名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第6名
[单位] %","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第7名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第7名
[单位] %↓","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第8名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第8名
[单位] %","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第9名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第9名
[单位] %","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第10名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第10名
[单位] %"
133,005106.OF,银华农业产业,王翔,002714.SZ,8.8426,000858.SZ,8.1026,002311.SZ,8.0653,600519.SH,8.0454,002299.SZ,6.8193,603517.SH,5.8947,300498.SZ,4.7321,000876.SZ,4.3147,603369.SH,4.3061,002557.SZ,3.5647
134,006803.OF,嘉实互通精选,陈叶雁南,600519.SH,8.9975,600036.SH,6.8188,2313.HK,6.6514,2318.HK,5.9386,1093.HK,5.4251,000651.SZ,5.1659,002475.SZ,4.7292,0700.HK,4.5696,300760.SZ,4.4963,601799.SH,4.2827
135,000867.OF,华宝品质生活,光磊,000661.SZ,9.3962,002821.SZ,8.6895,603883.SH,7.6566,603711.SH,7.1099,600547.SH,6.5005,300014.SZ,5.2468,002384.SZ,4.7106,000063.SZ,4.3282,002851.SZ,3.5807,300129.SZ,3.4875
139,004784.OF,招商稳健优选,钟贇,002475.SZ,8.7805,600519.SH,8.3791,002714.SZ,7.7692,603369.SH,7.3114,600438.SH,6.4816,002311.SZ,5.6843,002624.SZ,4.6629,000858.SZ,3.9752,300601.SZ,3.4958,600745.SH,3.2839
140,001685.OF,汇添富沪港深新价值,杨威风,0914.HK,5.8038,2269.HK,5.7414,0700.HK,5.5392,0388.HK,5.4634,2318.HK,5.1662,1398.HK,4.6913,3968.HK,4.6566,2883.HK,4.5376,2359.HK,4.1946,1797.HK,4.0166
141,162208.OF,泰达宏利首选企业,张勋,002157.SZ,6.905,000661.SZ,6.2126,000858.SZ,5.4274,002384.SZ,5.38,600340.SH,5.2906,000568.SZ,4.6589,002415.SZ,4.6561,300073.SZ,3.4874,300760.SZ,3.471,601688.SH,3.3389
142,320020.OF,诺安策略精选,蔡宇滨,600176.SH,11.2011,601318.SH,8.3646,601877.SH,7.4234,600377.SH,6.656,300146.SZ,6.1166,601668.SH,4.9317,002027.SZ,4.6465,000975.SZ,3.6465,600867.SH,3.6371,002601.SZ,3.6062
143,005628.OF,汇安趋势动力A,邹唯,000002.SZ,9.0795,600585.SH,7.9332,600030.SH,7.5494,600036.SH,6.9947,601318.SH,6.8171,600837.SH,4.8416,002142.SZ,4.6157,601872.SH,4.2706,002624.SZ,3.7166,600048.SH,3.5852
146,005009.OF,申万菱信行业轮动,蒲延杰,600519.SH,9.0222,601318.SH,6.6382,002475.SZ,6.236,000858.SZ,5.8634,300014.SZ,5.6614,600438.SH,5.3518,300115.SZ,4.6009,300136.SZ,4.421,603986.SH,3.7781,300750.SZ,3.6849
147,003232.OF,创金合信金融地产A,李龑,600036.SH,9.8643,002142.SZ,9.7912,000001.SZ,9.7731,601318.SH,9.5083,600030.SH,8.6086,600837.SH,6.6799,601939.SH,4.5922,000002.SZ,4.5189,601628.SH,4.0303,000961.SZ,3.6467
148,001178.OF,前海开源再融资主题精选,邱杰,000651.SZ,8.5577,002812.SZ,6.3235,600383.SH,5.9253,300315.SZ,5.8036,600048.SH,5.753,000625.SZ,5.066,600104.SH,4.5703,603444.SH,4.1658,300144.SZ,3.581,002648.SZ,3.4713
149,001766.OF,上投摩根医疗健康,方钰涵,300760.SZ,9.8775,603259.SH,9.6958,603707.SH,7.4138,600276.SH,7.3403,002821.SZ,6.833,000661.SZ,4.9462,300015.SZ,4.5471,600161.SH,4.4141,688016.SH,4.134,300482.SZ,3.8209
150,000780.OF,鹏华医疗保健,郎超,600276.SH,11.1944,000661.SZ,10.8038,300760.SZ,9.8873,603259.SH,9.7921,300015.SZ,5.9431,300601.SZ,4.8794,002821.SZ,4.5471,600763.SH,4.4601,300759.SZ,4.4559,600529.SH,3.5271
151,001404.OF,招商移动互联网,张林,002475.SZ,6.404,300014.SZ,5.2847,002241.SZ,5.2161,601799.SH,4.9088,002600.SZ,4.8961,603986.SH,4.7124,002912.SZ,4.5338,603501.SH,4.4885,002410.SZ,4.0463,000977.SZ,3.9025
152,001186.OF,富国文体健康,林庆,002643.SZ,9.1071,000001.SZ,6.2385,300285.SZ,5.5647,600887.SH,5.1288,002001.SZ,4.8243,002555.SZ,4.5957,300003.SZ,4.5104,600862.SH,4.2273,603579.SH,3.3252,600030.SH,3.2318
153,001975.OF,景顺长城环保优势,杨锐文,300207.SZ,7.4858,002841.SZ,6.7619,002352.SZ,6.6206,600673.SH,5.5347,603515.SH,5.4217,300568.SZ,4.7336,300413.SZ,4.4984,000977.SZ,4.4545,603160.SH,4.4407,300383.SZ,4.3731
154,001223.OF,鹏华文化传媒娱乐,贺宁,002027.SZ,10.5156,300413.SZ,6.3434,601928.SH,6.1252,300144.SZ,5.9405,300059.SZ,5.4081,300383.SZ,5.0061,600138.SH,4.4957,300770.SZ,4.1755,002624.SZ,4.1072,002555.SZ,3.5962
156,000594.OF,大摩进取优选,缪东航,601966.SH,7.1758,002353.SZ,6.6883,300699.SZ,6.599,002597.SZ,6.5883,002648.SZ,6.4924,601636.SH,5.939,300136.SZ,4.4878,002206.SZ,4.1836,601128.SH,4.1584,601166.SH,4.0548
157,000971.OF,诺安新经济,杨琨,603993.SH,6.9334,600276.SH,5.9158,601888.SH,5.4907,600570.SH,5.2787,600519.SH,4.9292,002304.SZ,4.7861,000938.SZ,4.4643,002497.SZ,3.688,600030.SH,3.5451,601808.SH,3.5378
158,001167.OF,金鹰科技创新,乔春,002050.SZ,4.8435,601689.SH,4.7966,002624.SZ,4.7446,300315.SZ,4.6425,600801.SH,4.5456,000786.SZ,4.514,002353.SZ,4.4504,000338.SZ,4.4381,603659.SH,4.376,002812.SZ,4.2341
159,005209.OF,东吴双三角A,彭敢,002405.SZ,9.1142,603043.SH,6.6191,002675.SZ,5.4719,300001.SZ,5.3491,603983.SH,4.7576,300078.SZ,4.5879,300454.SZ,4.4358,000977.SZ,4.2599,601128.SH,3.8679,300618.SZ,3.7928
160,005983.OF,上投摩根核心精选,李博,002236.SZ,10.5576,603008.SH,5.7114,600036.SH,5.5112,002035.SZ,5.4535,000591.SZ,4.7876,601222.SH,4.5642,003816.SZ,4.4314,603579.SH,4.3137,600466.SH,4.2504,600567.SH,3.8479
162,001718.OF,工银瑞信物流产业,张宇帆,600104.SH,8.5778,000625.SZ,6.3731,603960.SH,6.1392,000951.SZ,5.4881,600741.SH,5.3101,300124.SZ,4.4223,002475.SZ,4.3764,600660.SH,4.0335,600009.SH,3.9287,601633.SH,3.923
163,001579.OF,国泰大农业,程洲,600519.SH,6.3285,300498.SZ,6.1257,002311.SZ,5.1658,000895.SZ,5.141,002714.SZ,4.6892,000876.SZ,4.4225,603288.SH,4.3738,600201.SH,4.0058,002250.SZ,3.8695,600597.SH,3.7255
164,000893.OF,工银瑞信创新动力,杨鑫鑫,000069.SZ,6.3934,600820.SH,5.9155,601117.SH,5.8844,601607.SH,4.8246,600362.SH,4.8168,000895.SZ,4.7651,000726.SZ,4.3555,600563.SH,4.0584,600048.SH,3.8067,600426.SH,3.5877
165,006751.OF,富国互联科技,许炎,002475.SZ,8.0742,603501.SH,7.7088,603986.SH,7.3921,688111.SH,6.5724,600845.SH,6.1685,300628.SZ,4.9755,300750.SZ,4.3499,300782.SZ,3.9524,688008.SH,3.595,002859.SZ,3.4347
166,001878.OF,嘉实沪港深精选,张金涛,2382.HK,8.237,002475.SZ,7.9563,000651.SZ,7.9436,2899.HK,6.638,600276.SH,4.769,0966.HK,4.6337,000858.SZ,4.3489,002353.SZ,3.7864,0817.HK,3.5807,600519.SH,3.3523
167,160133.OF,南方天元新产业,蒋秋洁,000858.SZ,6.5231,600519.SH,6.0493,601888.SH,5.5162,300413.SZ,5.2777,000661.SZ,4.6558,002714.SZ,4.4271,002027.SZ,4.3416,000651.SZ,3.447,002415.SZ,3.4343,300750.SZ,3.0499
168,003298.OF,嘉实物流产业A,肖觅,002120.SZ,10.371,601799.SH,10.0585,603885.SH,6.4218,601021.SH,5.5304,600233.SH,5.3062,600115.SH,4.8483,600029.SH,4.3409,600153.SH,4.248,601658.SH,4.1895,601111.SH,4.1286
169,006818.OF,安信盈利驱动A,袁玮,601668.SH,6.4428,601318.SH,6.2799,002230.SZ,6.2172,600383.SH,5.4825,000002.SZ,4.8069,603259.SH,4.4688,600606.SH,4.3357,600048.SH,4.3003,600196.SH,4.026,601166.SH,3.7952
170,001396.OF,建信互联网+产业升级,何珅华,000858.SZ,7.9249,002624.SZ,7.3535,600519.SH,6.9582,002475.SZ,5.7461,000002.SZ,4.8127,000961.SZ,4.3611,603429.SH,4.3328,600136.SH,4.2671,002123.SZ,4.2015,600703.SH,4.117
171,001104.OF,华安新丝路主题,谢昌旭,600519.SH,7.7443,000858.SZ,6.5776,600276.SH,6.089,300015.SZ,4.8407,601318.SH,4.5718,002475.SZ,4.4139,000333.SZ,4.3218,600036.SH,4.2904,600763.SH,4.1017,000002.SZ,2.7308
172,007853.OF,华商计算机行业量化,邓默,600570.SH,7.4017,000977.SZ,6.6752,002230.SZ,5.5106,002410.SZ,4.5401,300253.SZ,4.3324,300033.SZ,4.3176,600588.SH,4.3072,002439.SZ,3.9352,000066.SZ,3.7894,600536.SH,3.2494
173,000418.OF,景顺长城成长之星,刘晓明,002475.SZ,9.2862,002714.SZ,8.0483,300115.SZ,7.8202,000725.SZ,5.3435,000401.SZ,4.6388,600519.SH,4.4465,000651.SZ,4.305,002241.SZ,3.8968,603456.SH,3.7664,300122.SZ,3.6376
174,540007.OF,汇丰晋信中小盘,侯玉琦,002555.SZ,7.5411,603444.SH,6.515,002624.SZ,6.1934,000977.SZ,4.6927,002236.SZ,4.46,300031.SZ,4.36,601555.SH,4.2986,002821.SZ,4.0177,002139.SZ,3.9267,300413.SZ,3.7063
176,005268.OF,鹏华优势企业,陈璇淼,000661.SZ,10.1078,002475.SZ,9.6818,000858.SZ,7.5408,600519.SH,5.6889,000333.SZ,5.1761,603899.SH,5.1605,300760.SZ,4.2668,000651.SZ,4.0505,600276.SH,3.9249,000063.SZ,3.9132
177,002861.OF,工银瑞信智能制造,农冰立,002415.SZ,9.8737,600183.SH,7.1583,000651.SZ,5.0594,600519.SH,5.0209,300782.SZ,4.7733,000568.SZ,4.6803,603960.SH,4.2593,002690.SZ,4.0469,300760.SZ,4.0206,002008.SZ,4.0064
178,001008.OF,工银瑞信国企改革主题,何肖颉,601601.SH,10.975,600048.SH,6.3234,000651.SZ,6.1895,601318.SH,5.7045,002142.SZ,5.2639,000661.SZ,4.7329,600519.SH,4.2527,601166.SH,3.6325,000708.SZ,3.5796,600585.SH,3.4874
179,519935.OF,长信创新驱动,沈佳,002475.SZ,6.4343,300188.SZ,5.4105,002044.SZ,5.4085,300383.SZ,4.7213,002624.SZ,4.3494,603160.SH,4.2894,000725.SZ,4.2478,300078.SZ,4.1408,002920.SZ,4.1128,002212.SZ,4.0385
180,007590.OF,华宝绿色领先,蔡目荣,002202.SZ,8.3337,002531.SZ,8.3091,002127.SZ,7.8184,000063.SZ,5.2596,002415.SZ,4.3874,601688.SH,4.3304,300443.SZ,4.2462,002709.SZ,4.2195,300232.SZ,3.567,603103.SH,3.5499
181,004640.OF,华夏节能环保,吕佳玮,300750.SZ,8.717,300207.SZ,8.059,603799.SH,7.0976,002475.SZ,5.2583,002415.SZ,5.1955,002460.SZ,4.8792,603489.SH,4.224,002050.SZ,4.211,600031.SH,4.1248,600885.SH,4.0519
182,003492.OF,前海开源外向企业,石峰,002027.SZ,5.267,000783.SZ,4.9704,601933.SH,4.6825,300482.SZ,4.3753,000703.SZ,4.2613,000671.SZ,4.2517,601336.SH,4.2154,600201.SH,4.1955,600115.SH,4.1173,002648.SZ,3.8383
184,003145.OF,中融竞争优势,柯海东,002695.SZ,9.6365,600984.SH,8.2676,300122.SZ,5.4811,000651.SZ,5.4483,300406.SZ,5.1835,000725.SZ,4.6707,000776.SZ,4.1677,002812.SZ,3.9911,600703.SH,3.8155,603799.SH,3.7629
185,001054.OF,工银瑞信新金融,鄢耀,002142.SZ,7.1948,601166.SH,6.5475,000002.SZ,5.5514,002475.SZ,5.2478,600519.SH,5.1025,000333.SZ,5.0249,000069.SZ,4.144,601688.SH,4.0005,600031.SH,3.3583,300630.SZ,2.9312
186,001236.OF,博时丝路主题A,沙炜,000708.SZ,9.0749,600030.SH,6.2969,000333.SZ,5.2251,600585.SH,5.1814,601138.SH,4.5319,688368.SH,4.1578,601899.SH,4.1399,000961.SZ,3.6124,600426.SH,3.5558,000823.SZ,3.4388
189,206012.OF,鹏华价值精选,张航,002475.SZ,8.2101,000651.SZ,5.7965,000002.SZ,5.0854,600048.SH,4.7918,603986.SH,4.2052,002396.SZ,4.1448,603737.SH,4.1017,601799.SH,3.9041,000338.SZ,3.7919,300315.SZ,3.4231
190,000751.OF,嘉实新兴产业,归凯,300012.SZ,6.7261,600763.SH,5.6849,000063.SZ,4.8561,000651.SZ,4.5714,300760.SZ,4.465,300124.SZ,4.2098,002410.SZ,4.0992,000100.SZ,4.0713,601799.SH,3.9115,300357.SZ,3.8039
191,006265.OF,红土创新新科技,朱然,000977.SZ,5.2645,002185.SZ,4.7386,300476.SZ,4.2681,002396.SZ,4.1581,002876.SZ,4.1059,002236.SZ,4.1026,002384.SZ,4.0873,002938.SZ,3.9563,002222.SZ,3.7921,002008.SZ,3.7763
193,001705.OF,泓德战略转型,秦毅,601012.SH,8.143,603338.SH,7.8021,601318.SH,7.6642,000002.SZ,4.8677,300750.SZ,4.7558,002202.SZ,4.4607,600438.SH,4.0843,300188.SZ,3.7809,603659.SH,3.7545,601233.SH,3.5886
195,005161.OF,华商上游产业,童立,000878.SZ,5.1405,002311.SZ,4.9264,300750.SZ,4.8534,688388.SH,4.5237,300769.SZ,4.2859,002791.SZ,4.1724,600031.SH,4.0831,000401.SZ,4.0735,603799.SH,4.0427,002001.SZ,3.9787
196,005927.OF,创金合信新能源汽车A,曹春林,300750.SZ,8.6208,000049.SZ,8.2293,300037.SZ,7.3609,600104.SH,6.9014,002466.SZ,5.4145,601633.SH,4.1487,601238.SH,4.0592,600884.SH,3.9094,600885.SH,2.9906,300450.SZ,2.8609
197,001166.OF,建信环保产业,姜锋,002050.SZ,6.5846,600900.SH,6.4007,601877.SH,6.3547,300285.SZ,5.3988,600886.SH,4.338,002202.SZ,4.24,300750.SZ,4.0583,600674.SH,4.0429,600323.SH,4.0296,000968.SZ,3.9999
198,001070.OF,建信信息产业,邵卓,002624.SZ,8.2353,002123.SZ,6.5426,300628.SZ,5.4084,002475.SZ,4.6972,300014.SZ,4.4936,600060.SH,4.2276,601138.SH,4.0553,002127.SZ,3.9219,300251.SZ,3.8723,000063.SZ,3.6875
199,004272.OF,中融量化小盘A,陈薪羽,002367.SZ,4.4716,300569.SZ,4.1626,300043.SZ,4.1155,002381.SZ,4.1093,600510.SH,4.0801,002111.SZ,4.0655,300190.SZ,4.045,002020.SZ,4.0252,300129.SZ,3.9833,000042.SZ,3.9607
200,001476.OF,中银智能制造,王伟,300014.SZ,8.3797,300450.SZ,6.6899,002241.SZ,5.7002,600438.SH,5.3266,601012.SH,4.9499,000338.SZ,4.5296,600031.SH,4.0143,002415.SZ,3.951,300124.SZ,3.758,600406.SH,3.2415
201,160322.OF,华夏港股通精选,李湘杰,2382.HK,7.1331,6169.HK,6.0588,6098.HK,5.6134,2269.HK,5.0535,2018.HK,4.8861,0291.HK,4.3861,2359.HK,4.014,0743.HK,3.8418,2020.HK,3.7889,0285.HK,3.3631
202,000729.OF,建信中小盘,许杰,002078.SZ,6.5611,600183.SH,4.9984,002127.SZ,4.4862,300596.SZ,4.3428,600466.SH,4.1232,002174.SZ,4.0514,603063.SH,3.9847,002244.SZ,3.9714,002013.SZ,3.9604,601966.SH,3.9551
203,000803.OF,工银瑞信研究精选,宋炳珅,600030.SH,8.463,603986.SH,5.6751,300251.SZ,5.5408,300782.SZ,5.1788,002624.SZ,4.2827,300059.SZ,4.2176,002241.SZ,3.9602,600584.SH,3.2313,601688.SH,3.1856,300413.SZ,3.0826
204,001409.OF,工银瑞信互联网加,张继圣,300450.SZ,8.0014,600570.SH,7.3371,002916.SZ,6.431,600309.SH,6.2498,002938.SZ,4.2052,601012.SH,4.0397,600276.SH,3.9403,600183.SH,3.4866,002463.SZ,3.2485,600872.SH,3.0433
205,007586.OF,华泰保兴多策略三个月,尚烁徽,600519.SH,5.6687,601318.SH,5.6326,600754.SH,5.2926,601899.SH,5.2185,000786.SZ,4.1417,601658.SH,4.1123,300450.SZ,3.9006,300750.SZ,3.5593,002212.SZ,3.5388,603583.SH,3.3054
208,001195.OF,工银瑞信农业产业,杨柯,002714.SZ,11.2041,300498.SZ,11.1591,000876.SZ,7.5977,002311.SZ,5.6734,002458.SZ,5.5474,002568.SZ,4.1397,000333.SZ,3.8247,600598.SH,3.3256,002299.SZ,2.9724,300119.SZ,2.5617
209,001703.OF,银华沪港深增长,周大鹏,2601.HK,6.3905,603517.SH,6.0745,000961.SZ,4.6747,600519.SH,4.3913,601799.SH,4.3895,000858.SZ,4.1532,3808.HK,3.8145,2269.HK,3.5203,1658.HK,3.4215,2238.HK,3.325
210,000696.OF,汇添富环保行业,赵鹏程,300012.SZ,5.7341,000333.SZ,5.6314,002466.SZ,5.5371,600406.SH,5.231,600309.SH,4.36,601233.SH,4.284,603568.SH,3.804,002050.SZ,3.6687,002484.SZ,3.596,000786.SZ,3.5918
211,001039.OF,嘉实先进制造,张淼,300369.SZ,7.4374,600529.SH,7.1615,601799.SH,6.62,000100.SZ,4.3054,002475.SZ,3.9544,000063.SZ,3.9541,300271.SZ,3.8,002430.SZ,3.7268,300012.SZ,3.271,002643.SZ,3.1803
214,000513.OF,富国高端制造行业,毕天宇,300285.SZ,7.3873,002271.SZ,5.8931,002142.SZ,5.5195,600031.SH,5.4887,600519.SH,5.3843,603501.SH,4.87,601318.SH,3.7905,002555.SZ,3.7715,002001.SZ,3.2967,600309.SH,3.1141
215,000828.OF,泰达宏利转型机遇,王鹏,300014.SZ,9.1933,300750.SZ,5.8295,002475.SZ,5.3482,002624.SZ,4.2883,002174.SZ,4.2266,000661.SZ,3.7763,002271.SZ,3.772,600885.SH,3.2014,002714.SZ,3.0556,002157.SZ,3.019
216,007137.OF,鹏扬元合量化大盘优选A,JIANG SHAOKUN,600519.SH,5.1917,601688.SH,4.7749,600016.SH,4.6588,600498.SH,4.658,601818.SH,4.29,600900.SH,3.9947,600036.SH,3.7618,601601.SH,3.5822,601939.SH,3.5174,600999.SH,3.3177
217,001541.OF,汇添富民营新动力,谭志强,002624.SZ,7.2882,002044.SZ,6.8253,002555.SZ,6.6367,600036.SH,6.4829,300285.SZ,5.6312,000538.SZ,4.2536,601166.SH,3.7572,000961.SZ,3.6399,002466.SZ,3.4808,300144.SZ,3.3517
218,001043.OF,工银瑞信美丽城镇主题,王君正,000069.SZ,11.0079,002142.SZ,8.6094,600519.SH,5.4393,002244.SZ,4.6285,000002.SZ,4.2918,600036.SH,4.0606,300760.SZ,3.7084,600383.SH,3.6809,600276.SH,3.6587,600048.SH,3.4586
219,001663.OF,中银互联网+,欧阳力君,603659.SH,5.8233,000725.SZ,5.1526,300750.SZ,5.0586,600570.SH,4.9983,601138.SH,3.9415,300770.SZ,3.7042,601658.SH,3.7029,688023.SH,3.6809,002456.SZ,3.6284,002832.SZ,3.4739
222,001825.OF,建信中国制造2025,孙晟,601398.SH,8.0367,300253.SZ,7.5822,000403.SZ,7.2198,601111.SH,5.9332,601088.SH,4.7764,000002.SZ,3.8076,600201.SH,3.6732,600640.SH,3.3649,600019.SH,2.7965,600887.SH,2.6364
223,000326.OF,南方中小盘成长,吴剑毅,600068.SH,6.0744,600176.SH,5.9221,601838.SH,4.9799,002614.SZ,4.5299,601577.SH,4.1514,600511.SH,3.9534,002597.SZ,3.6426,000028.SZ,3.4675,000887.SZ,3.4154,002327.SZ,2.9745
